sample,rmse,initial guess,final install positions,time elapsed
62,13.96,"[array([-3, 15, 15,  3]), array([240, 550, 760, 240]), array([0.15, 0.25, 0.15, 0.15])]","[array([ 0.,  0.,  6., 12.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",12.69
63,15.99,"[array([-10,  -5,  12,  13]), array([290, 670, 230, 610]), array([0.25, 0.25, 0.15, 0.25])]","[array([ 4.,  0.,  0., 11.]), array([200., 200., 200., 220.]), array([0.25, 0.25, 0.25, 0.25])]",13.0
64,92.96,"[array([-18, -10, -19,   2]), array([280, 380, 780, 400]), array([0.15, 0.15, 0.25, 0.25])]","[array([19., 12.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]",11.4
65,22.85,"[array([ -9,  14, -19, -18]), array([720, 350, 200, 230]), array([0.25, 0.15, 0.25, 0.25])]","[array([12., 14.,  0.,  0.]), array([370., 400., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.36
66,82.3,"[array([-11, -19,  -7,  -9]), array([700, 530, 590, 520]), array([0.15, 0.25, 0.15, 0.15])]","[array([19.,  0.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]",10.01
67,12.14,"[array([-13,  -7,   1,  -7]), array([570, 550, 470, 420]), array([0.25, 0.25, 0.25, 0.25])]","[array([8., 8., 0., 9.]), array([330., 230., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.84
68,86.94,"[array([-18, -14, -19,  -1]), array([380, 390, 570, 770]), array([0.25, 0.15, 0.15, 0.15])]","[array([19.,  8.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]",8.18
69,16.34,"[array([  5,  15, -15,  19]), array([250, 540, 480, 660]), array([0.15, 0.15, 0.25, 0.25])]","[array([ 1.,  0.,  0., 11.]), array([200., 200., 200., 230.]), array([0.25, 0.25, 0.25, 0.25])]",10.01
70,12.52,"[array([-18,  14,  -7,  16]), array([760, 240, 460, 450]), array([0.25, 0.25, 0.25, 0.25])]","[array([ 0.,  0.,  0., 13.]), array([200., 200., 200., 230.]), array([0.25, 0.25, 0.25, 0.25])]",8.95
71,57.97,"[array([-19, -11,   0, -10]), array([210, 600, 500, 700]), array([0.15, 0.15, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([740., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.12
72,35.79,"[array([ 13,  13,  14, -14]), array([560, 610, 390, 480]), array([0.15, 0.15, 0.15, 0.15])]","[array([ 6.,  8., 19.,  0.]), array([200., 240., 470., 200.]), array([0.25, 0.25, 0.25, 0.25])]",8.3
73,21.61,"[array([12,  1, -1, -9]), array([280, 680, 310, 670]), array([0.15, 0.25, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([420., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.16
74,30.04,"[array([  2,   5,  18, -16]), array([650, 410, 560, 530]), array([0.25, 0.15, 0.15, 0.25])]","[array([12.,  0., 17.,  0.]), array([200., 200., 470., 200.]), array([0.25, 0.25, 0.25, 0.25])]",5.88
75,5.48,"[array([ 12, -17,  10,  11]), array([510, 320, 610, 690]), array([0.15, 0.25, 0.25, 0.15])]","[array([18.,  0.,  0.,  2.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",4.19
76,12.3,"[array([18,  3, 10, 10]), array([560, 760, 570, 450]), array([0.25, 0.15, 0.15, 0.15])]","[array([13.,  0.,  0.,  6.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",4.22
77,4.55,"[array([ -8,  -3, -11,  18]), array([760, 740, 750, 300]), array([0.25, 0.25, 0.25, 0.15])]","[array([15.,  0.,  0.,  2.]), array([290., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",18.75
78,13.7,"[array([ 11,   6, -10,  -1]), array([580, 550, 510, 620]), array([0.15, 0.15, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([350., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",20.37
79,20.48,"[array([  5, -12, -15,  13]), array([230, 260, 610, 710]), array([0.15, 0.15, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([410., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",11.52
80,38.54,"[array([ 13,  19,  14, -16]), array([570, 540, 770, 700]), array([0.15, 0.15, 0.15, 0.15])]","[array([ 5.,  9., 15.,  0.]), array([200., 230., 700., 200.]), array([0.25, 0.25, 0.25, 0.25])]",8.68
81,34.17,"[array([  6, -17,  10, -11]), array([280, 370, 800, 560]), array([0.15, 0.25, 0.15, 0.15])]","[array([19.,  0.,  1.,  0.]), array([530., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",8.09
82,13.86,"[array([-18,  17, -17,   9]), array([200, 660, 540, 200]), array([0.15, 0.25, 0.25, 0.15])]","[array([11., 12.,  0.,  0.]), array([200., 530., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",9.95
83,4.91,"[array([ 16,  19,  16, -13]), array([450, 770, 780, 290]), array([0.15, 0.15, 0.25, 0.25])]","[array([ 0.,  0., 13.,  0.]), array([200., 200., 400., 200.]), array([0.25, 0.25, 0.25, 0.25])]",10.33
84,5.81,"[array([ 17, -11,  15,  -1]), array([660, 670, 330, 360]), array([0.15, 0.15, 0.25, 0.15])]","[array([ 0.,  1., 16.,  0.]), array([290., 200., 240., 200.]), array([0.25, 0.25, 0.25, 0.25])]",7.76
85,82.3,"[array([ 18, -17,   1, -18]), array([640, 400, 220, 480]), array([0.15, 0.25, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]",13.22
86,20.67,"[array([13,  6, 19, 10]), array([330, 740, 300, 570]), array([0.15, 0.15, 0.25, 0.15])]","[array([0., 0., 0., 9.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",16.13
87,55.51,"[array([ -4,  13,  19, -19]), array([770, 220, 280, 560]), array([0.25, 0.15, 0.15, 0.25])]","[array([15.,  0., 19.,  0.]), array([400., 200., 440., 200.]), array([0.25, 0.25, 0.25, 0.25])]",12.6
88,72.8,"[array([ 14, -15, -16,  15]), array([350, 240, 780, 410]), array([0.25, 0.15, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([730., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]",11.39
89,44.21,"[array([-17, -16, -13,   4]), array([510, 520, 600, 220]), array([0.25, 0.15, 0.15, 0.15])]","[array([12., 11.,  0.,  0.]), array([800., 230., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]",12.33
90,12.7,"[array([ 18, -13,  -1,  -6]), array([290, 300, 660, 750]), array([0.15, 0.25, 0.25, 0.15])]","[array([10., 14.,  0.,  0.]), array([420., 290., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",12.98
91,47.74,"[array([ -5,  -5, -13, -11]), array([210, 290, 260, 590]), array([0.25, 0.25, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([650., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",12.16
92,13.14,"[array([-5,  9, -1,  6]), array([500, 200, 700, 400]), array([0.25, 0.15, 0.15, 0.25])]","[array([ 8.,  2.,  4., 11.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",15.36
93,62.27,"[array([-11,   9, -17, -16]), array([310, 740, 500, 340]), array([0.15, 0.15, 0.15, 0.25])]","[array([19.,  7.,  0.,  0.]), array([740., 240., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",16.93
94,20.87,"[array([ 1,  3,  3, 12]), array([440, 580, 670, 730]), array([0.25, 0.25, 0.25, 0.15])]","[array([6., 0., 0., 7.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",15.6
95,3.44,"[array([-18,  16, -11,  -6]), array([600, 730, 700, 520]), array([0.15, 0.15, 0.25, 0.25])]","[array([19.,  0.,  5.,  0.]), array([200., 330., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",12.1
96,10.38,"[array([  7,   5, -14,  19]), array([770, 680, 320, 770]), array([0.25, 0.15, 0.25, 0.15])]","[array([15.,  0.,  0.,  3.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",10.36
97,82.3,"[array([ 11, -17,  13, -19]), array([660, 780, 530, 590]), array([0.15, 0.25, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]",10.25
98,19.28,"[array([ -7, -19,  16,  16]), array([440, 550, 270, 760]), array([0.25, 0.15, 0.15, 0.25])]","[array([4., 0., 0., 9.]), array([200., 200., 200., 220.]), array([0.25, 0.25, 0.25, 0.25])]",10.59
99,2.93,"[array([-7,  4, -4,  6]), array([610, 440, 470, 200]), array([0.15, 0.15, 0.15, 0.15])]","[array([19.,  0.,  0.,  2.]), array([210., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",10.33
100,82.3,"[array([  5, -14, -18,   5]), array([730, 670, 380, 210]), array([0.15, 0.15, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]",10.46
