s_num,s_c,s_l,e_l,s_pos,rmse
5,"[193.61290757819722, 418.65006365393265, 320.3482277608704, 480.9528778340803, 386.8818695523164, nan]","[0.23683693454564084, 0.16353640454990628, 0.3631265467932511, 0.34906769406881294, 0.2937161357278817, nan]",0.111601429684004,"[0.1, 0.36, 0.01, 0.03, -0.06, nan]",0.5043900796157306
5,"[214.2777123360595, 289.7660077024807, 187.5256215782913, 382.8309141972468, 308.5019915410395, nan]","[0.36500744301642896, 0.32787768406239975, 0.3695224713912876, 0.22436802054622015, 0.2517823418214221, nan]",1.5961582841009705,"[0.09, 0.37, -0.03, 0.39, 0.37, nan]",1.5273834627277203
4,"[424.9783275408961, 297.58831060918993, 300.63972551271917, 251.95915259545413, nan, nan]","[0.21918235935150765, 0.15826521581481817, 0.29294283600357107, 0.27062477244745964, nan, nan]",2.317115960311656,"[0.38, 0.4, 0.0, 0.37, nan, nan]",1.2627178169735278
4,"[441.73161530446237, 287.2509160338386, 392.5485127546841, 477.08048013560136, nan, nan]","[0.29076856758845826, 0.18852905289829305, 0.26657310605837836, 0.30707342287301465, nan, nan]",1.411184340658792,"[-0.09, 0.28, 0.28, 0.4, nan, nan]",1.7536643562506709
6,"[290.9951757502622, 340.2559275962466, 155.34368987955645, 253.9277643985729, 199.31590833216939, 296.3372607353656]","[0.26809992283365613, 0.3086203570892677, 0.3129142332076774, 0.2756140336675019, 0.15195925251517656, 0.30102477951496565]",1.2904514020225188,"[0.39, 0.39, -0.08, 0.12, 0.36, -0.04]",1.457739037296532
4,"[233.26899706170326, 332.2725232975064, 403.71140480458746, 425.0487535602168, nan, nan]","[0.27396522471187545, 0.18706294858561157, 0.18913363989518556, 0.2999601920666252, nan, nan]",3.8165033368797854,"[0.37, 0.38, 0.4, 0.4, nan, nan]",1.950123698131962
5,"[368.32287532805367, 304.580930963542, 285.0936769664896, 330.1614557863561, 150.16044790093468, nan]","[0.16882371811507454, 0.24360894545535486, 0.3088637351799333, 0.1743664661630401, 0.31018318958994195, nan]",4.1092282277898375,"[0.4, 0.38, 0.4, 0.37, 0.4, nan]",1.9441257752302612
4,"[153.4524758841266, 488.01645945713136, 440.7273586687916, 405.1297779350261, nan, nan]","[0.24083140966914496, 0.2624609529027425, 0.2475668202833545, 0.3672992392159287, nan, nan]",1.2131211294479949,"[0.0, 0.38, 0.33, -0.16, nan, nan]",1.3855512827229133
6,"[300.1483498601625, 277.1574824209165, 318.06305685259827, 427.42197287470236, 273.066650532643, 326.2242961550121]","[0.18949312090705633, 0.3872991931604471, 0.29295525379895115, 0.37988590974532965, 0.38281749568063095, 0.3454204664250765]",0.6019863378688095,"[0.38, -0.27, 0.4, -0.27, -0.15, 0.05]",0.8933622008799859
4,"[217.4519012231102, 270.81383085925484, 225.81104083691702, 408.05855048679217, nan, nan]","[0.18161287784803626, 0.21538350674667056, 0.1792198984217716, 0.21528146062348846, nan, nan]",1.7428098965300975,"[0.01, 0.39, 0.39, 0.32, nan, nan]",1.0889449343576338
5,"[478.14360913215404, 465.72418925989894, 381.1631939092381, 182.13029476130671, 433.5322469210162, nan]","[0.29783014634793986, 0.39830266545762943, 0.34017688943354113, 0.24049526845452962, 0.16408968979224978, nan]",0.4378611502079521,"[0.0, -0.36, -0.17, 0.14, 0.39, nan]",0.5644748673160848
