sample,rmse,initial guess,final install positions
90,35.24,"[-13, -14,   8,  -8], [410, 460, 790, 780], [0.15, 0.25, 0.25, 0.25]]","[19.,  0.,  0.,  0.], [540., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
91,63.19,"[  9,   6,   9, -18], [560, 550, 360, 520], [0.15, 0.15, 0.25, 0.15]]","[15.,  7., 18.,  0.], [560., 280., 380., 200.], [0.25, 0.25, 0.25, 0.25]]"
92,17.09,"[-1,  3, 17, -9], [530, 470, 300, 690], [0.15, 0.15, 0.15, 0.15]]","[ 0., 10., 16.,  0.], [200., 200., 400., 200.], [0.25, 0.25, 0.25, 0.25]]"
93,43.19,"[ 16,  -8,  -6, -14], [440, 750, 370, 250], [0.25, 0.25, 0.25, 0.25]]","[19.,  0.,  0.,  0.], [610., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
94,82.3,"[-17, -15, -18,  -5], [320, 700, 240, 560], [0.25, 0.15, 0.15, 0.25]]","[19.,  0.,  0.,  0.], [800., 200., 200., 200.], [0.15, 0.25, 0.25, 0.25]]"
95,14.44,"[ 2, 14, -8, -2], [650, 790, 420, 380], [0.15, 0.15, 0.25, 0.15]]","[5., 8., 0., 9.], [200., 280., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
96,20.67,"[-17,  -3,  17,  15], [580, 280, 500, 590], [0.15, 0.25, 0.25, 0.15]]","[0., 0., 0., 9.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
97,82.3,"[  3, -18, -12,  -5], [550, 430, 540, 400], [0.25, 0.15, 0.25, 0.25]]","[19.,  0.,  0.,  0.], [800., 200., 200., 200.], [0.15, 0.25, 0.25, 0.25]]"
98,48.38,"[  3, -15, -16,  16], [650, 410, 770, 210], [0.25, 0.15, 0.25, 0.15]]","[10., 16.,  0.,  0.], [800., 320., 200., 200.], [0.15, 0.25, 0.25, 0.25]]"
99,19.57,"[-12,   6,   0,   2], [660, 370, 720, 660], [0.15, 0.15, 0.15, 0.15]]","[6., 6., 2., 6.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
100,8.13,"[-10,  18,  16,  -7], [550, 320, 350, 490], [0.25, 0.15, 0.25, 0.15]]","[ 0.,  8., 15.,  0.], [200., 200., 350., 200.], [0.25, 0.25, 0.25, 0.25]]"
