number of springs: 4
Number of slots: 20
spring_constants: [600, 300, 250, 230]
spring_lengths: [0.1, 0.2, 0.17, 0.13]
rmse,initial guess,final install positions
14.43,"[array([-7, 17, -1,  1]), array([330, 300, 780, 620]), array([0.15, 0.15, 0.25, 0.25])]","[array([7., 8., 0., 9.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.93,"[array([-5, -6, 18,  0]), array([550, 700, 230, 250]), array([0.25, 0.15, 0.25, 0.25])]","[array([11.,  0., 15.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
9.29,"[array([-14,   9,  19, -15]), array([340, 750, 780, 360]), array([0.25, 0.15, 0.25, 0.25])]","[array([14.,  0., 12.,  0.]), array([200., 200., 360., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
82.30,"[array([ 19, -16,  -8,  -4]), array([310, 620, 680, 540]), array([0.15, 0.25, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]"
10.87,"[array([ 12,  -5, -18,   8]), array([410, 610, 290, 240]), array([0.15, 0.25, 0.15, 0.15])]","[array([10., 11.,  0.,  0.]), array([430., 330., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
40.92,"[array([-18, -15,  -2, -14]), array([740, 270, 590, 240]), array([0.25, 0.25, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([590., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
8.60,"[array([16, -1,  0, -5]), array([750, 290, 520, 420]), array([0.15, 0.15, 0.25, 0.25])]","[array([12.,  0.,  9.,  0.]), array([270., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
6.42,"[array([-9, 12, -4, -8]), array([340, 210, 680, 230]), array([0.15, 0.15, 0.15, 0.15])]","[array([16.,  0.,  5.,  0.]), array([220., 210., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
6.72,"[array([  8,   5,  11, -10]), array([380, 460, 410, 210]), array([0.15, 0.15, 0.25, 0.15])]","[array([19.,  0., 11.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
54.56,"[array([ -6,   7, -18,   1]), array([230, 260, 550, 310]), array([0.15, 0.25, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([710., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
